分区,组织,中文,日本語,English,空缺说明,来源
角色／其他角色,龙门,伊斯,Yith,イース,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,鼠王,Rat King,鼠王,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,欧厄尔·彼得斯,Eurill Pides,オエル・ピーターズ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,大帝,Emperor,エンペラー,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,可萝尔,Carol,キャロル,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,黑骑士,Black Knight,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,凋零骑士,Desecrated Knight,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,腐败骑士,Defiled Knight,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,血骑士,Blood Knight,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,瑟奇亚克,Szewczyk,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,托兰,Toland,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡西米尔,切斯柏,Czcibor,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,迪伦马特,Dürrenmatt,デュレンマット,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,阿格尼尔,Agenir,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,乔万娜·罗塞蒂,Giovanna Rossati,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,德米特里·切塔尔多,Demetri Certaldo,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,丹布朗·莱奥帕尔迪,Danbrown Leopardi,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,叙拉古,文,Ben,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,蔓德拉,Mandragora,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,莉薇娅·吉尔达斯,Livia Gildas,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,理查·西摩,Richard Seymour,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,露西娅·斯卡曼德罗斯,Lucia Skamandros,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,雷顿·孟塔古,Rayton Montague,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,杰弗里·梅斯,Jeffrey Metz,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,温德米尔公爵,Duke of Windermere,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,威灵顿公爵,Duke of Wellington,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,维多利亚,弗雷德里克三世,Frederick Ⅲ,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,哥伦比亚,杰斯顿,Jesselton Miller,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,哥伦比亚,马克·麦克斯,Mk-MAX,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,高卢,科西嘉一世,Corsica Ⅰ,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,高卢,德·黎博利,Emmanuel de Liberi,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡兹戴尔,特雷西斯,Theresis,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,卡兹戴尔,曼弗雷德,Manfred,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,塞茜莉亚,Cecilia,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,安多恩,Androne,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,蕾缪安,Lemuen,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,克莱芒·杜波瓦,Clément Dubois,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,斯特凡诺·托雷格罗萨,Stefano Torregrossa,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,拉特兰,伊万杰利斯塔十一世,Yvangelista PP.Ⅺ,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,玻利瓦尔,坎黛拉,Candela,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,玻利瓦尔,潘乔,Pancho,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,赫尔昏佐伦/巫王,Herkunftshorn,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,利奥波德大公,Erzherzog von Leopold,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,塞弗林·霍索恩,Severin Hawthorn,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,塔佳娜,Tatjana,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,托尔瓦尔德·霍索恩,Thorwald Hawthorn,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,毕德曼,Biederman,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,埃克哈德,Eckehard,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱塔尼亚,凯文,Kevin,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
