分区,子分组,鹰角中文,鹰角英文,鹰角其他语言,Yostar日文,Yostar英文,空缺说明,来源
组织,,喀兰贸易,Karlan Trade,-,カランド貿易,"Karlan Trade CO., LTD",鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,龙门近卫局,L.G.D./Lungmen Guard Department,-,龍門近衛局,Lungmen Guard Department,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,企鹅物流,Penguin Logistics,-,ペンギン急便,Penguin Logistics,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,莱茵生命,Rhine Lab LLC.,-,ライン生命,Rhine Lab,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,岁,Sui,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,贾维团伙,Chiave Gang,-,キアーベ一味,Chiave Gang,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,使徒,Followers,-,使徒,Followers,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,赦罪师,,-,聴罪師,-,鹰角英文待补或未出现；鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,鲤氏侦探事务所,Lee's Detective Agency,-,リー探偵事務所,Lee's Detective Agency,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,彩虹小队,Team Rainbow,-,レインボー小隊,Team Rainbow,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,乌萨斯学生自治团,U.S.S.G/Ursus Student Self-Government Group,Урсуский Ученический Союз Самоуправления,ウルサス学生自治団,Ursus Student Self-Governing Group,,https://prts.wiki/w/泰拉词库
组织,,阿撒兹勒,,-,アザゼル,-,鹰角英文待补或未出现；鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,卡西米尔无胄盟,Armorless Union,-,カジミエーシュ無冑盟,Kazimierz Scionless Alliance,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,卡西米尔商业联合会,Kazimierz General Chamber of Commerce,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,卡西米尔监正会,Adeptus Sprawiedliwi Kazimierz,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,卡兹戴尔军事委员会,Military Commission of Kazdel,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,整合运动,Reunion,-,レユニオン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,深池,Dublinn,-,ダブリン,Dublinn,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,伦蒂尼姆市民自救军,Eartha,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,雷神工业,Raythean,-,レイジアン工業,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,瓦伊凡联盟,Vyvern,-,ワイバーン アライアンス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,诺斯伍德大骑士团,Northwood Knightorder,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,呼啸骑士团,Road Knightclub,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,沸血骑士团,Bloodboil,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,雪踵骑士团,Snowyheel,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,红松骑士团,Pinus Sylvestris,-,レッドパイン騎士団,Pinus Sylvestris,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,拉特兰中庭公证所,Laterano Notarial Hall,S.N.C.L./Secretaria Notariorum Curise Laterani,-,-,悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,梅兰德基金会,Maylander Foundation,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,沙滩伞公司,Beachbrella,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,约翰老妈,Mama John's,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,辛嘉斯王朝/玻利瓦尔王国,Singas Dynasty,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,玻利瓦尔联合政府/玻利瓦尔独立国,Coalition Government,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,真正玻利瓦尔人解放运动,True Bolívarians,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,塔山生物科技,Tower Mountains,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,沃尔沃特科钦斯基,VolvortKochinski,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,锈锤,Rusthammer,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,太阳谷机械工业,Sunvalley Industries,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,龙,Lung,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,黎博利,Liberi,-,リーベリ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,鲁珀,Lupo,-,ループス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,鬼,,,鬼,Oni,鹰角英文待补或未出现；鹰角其他语言待补或未出现,https://prts.wiki/w/泰拉词库
种族,,阿达克利斯,Archosauria,-,アダクリス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,阿纳缇,Anaty,-,アナティ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,萨科塔,Sankta,-,サンクタ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,萨弗拉,Savra,-,サヴラ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,萨卡兹,Sarkaz,-,サルカズ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,血魔,,,ブラッドブルード,Vampire,鹰角英文待补或未出现；鹰角其他语言待补或未出现,https://prts.wiki/w/泰拉词库
种族,,温迪戈,,,ウェンディゴ,Wendigo,鹰角英文待补或未出现；鹰角其他语言待补或未出现,https://prts.wiki/w/泰拉词库
种族,,菲林,Feline,-,フェリーン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,瓦伊凡,Vouivre,-,ヴイーヴル,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,德拉克,Draco,-,ドラコ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,瑞柏巴,Reproba,-,レプロバ,Rebbah,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
种族,,沃尔珀,Vulpo,-,ヴァルポ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,杜林,Durin,-,ドゥリン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,札拉克,Zalak,-,ザラック,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,曼提柯,Manticore,-,マンティコア,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,库兰塔,Kuranta,-,クランタ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,安努拉,Anura,-,アヌーラ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,埃拉菲亚,Elafia,-,エラフィア,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,卡特斯,Cautus,-,コータス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,卡普里尼,Caprinae,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,匹特拉姆,Petram,-,ペートラム,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,依特拉,Itra,-,イトラ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,佩洛,Perro,-,ペッロー,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,丰蹄,Forte,-,フォルテ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,乌萨斯,Ursus,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,奇美拉,,,キメラ,Chimera,鹰角英文待补或未出现；鹰角其他语言待补或未出现,https://prts.wiki/w/泰拉词库
种族,,阿斯兰,Aslan,-,アスラン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,麒麟,Kylin,-,麒麟,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,阿戈尔,Ægir,-,エーギル,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,皮洛萨,Pilosa,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,斐迪亚,Phidia,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
种族,,塞拉托,Cerato,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
角色／干员代号,,夜刀,Yato,,ヤトウ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,黑角,Noir Corne,,ノイルホーン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,巡林者,Rangers,,レンジャー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,杜林,Durin,,ドゥリン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,12F,12F,,12F,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,芬,Fang,,フェン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,香草,Vanilla,,バニラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,翎羽,Plume,,プリュム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,玫兰莎,Melantha,,メランサ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,卡缇,Cardigan,,カーディ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,米格鲁,Beagle,,ビーグル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,克洛丝,Kroos,,クルース,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,安德切尔,Adnachiel,,アドナキエル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,炎熔,Lava,,ラヴァ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,芙蓉,Hibiscus,,ハイビスカス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,安赛尔,Ansel,,アンセル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,史都华德,Steward,,スチュワード,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,梓兰,Orchid,,オーキッド,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夜烟,Haze,,ヘイズ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,远山,Gitano,,ギターノ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,杰西卡,Jessica,,ジェシカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,流星,Meteor,,メテオ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,白雪,ShiraYuki,,シラユキ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,讯使,Courier,,クーリエ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,清道夫,Scavenger,,スカベンジャー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,红豆,Vigna,,ヴィグナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,杜宾,Dobermann,,ドーベルマン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,缠丸,Matoimaru,,マトイマル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,霜叶,Frostleaf,,フロストリーフ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,艾丝黛尔,Estelle,,エステル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,慕斯,Mousse,,ムース,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,砾,Gravel,,グラベル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,暗索,Rope,,ロープ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,末药,Myrrh,,ミルラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,嘉维尔,Gavial,,ガヴィル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,调香师,Perfumer,,パフューマー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,角峰,Matterhorn,,マッターホルン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,蛇屠箱,Cuora,,クオーラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
