所属,简体中文,English,日本語,其他明确词形,类型,首都/关系,现状,时间范围,简体中文依据,来源,审查状态,审查备注
伊比利亚,,Real-Iberia,,,设施／组织空间,,未明,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Real-Iberia,部分已核,待补：日文
伊比利亚,盐风城,Sal Viento,サル・ヴィエント,,聚落,,毁坏/废弃,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Sal_Viento,部分已核,
伊比利亚,愚人号,Stultifera Navis,愚人号,,舰船,,废弃/已改变,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Stultifera_Navis,部分已核,
卡西米尔,卡瓦莱利亚基,Kawalerielki,カヴァレリエルキ,,移动城市,首都,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Kawalerielki,部分已核,
卡西米尔,滴水村,Dewville,,,聚落,,未明,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/卡西米尔 | https://arknights.wiki.gg/wiki/Dewville,部分已核,待补：日文
卡西米尔,茨沃涅克,Dzwonek,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/卡西米尔 | https://arknights.wiki.gg/wiki/Dzwonek,部分已核,待补：日文
谢拉格,银心湖,Lake Silberneherze,銀心湖,,自然地貌,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Lake_Silberneherze,部分已核,待补：日文
谢拉格,少女峰,Maiden Peak,,,山峰,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/谢拉格,部分已核,待补：日文
谢拉格,喀兰峰,Mount Karlan,,,山峰,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/谢拉格,部分已核,待补：日文
谢拉格,马特洪峰,Mount Matterhorn,,,山峰,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/谢拉格,部分已核,待补：日文
谢拉格,图里卡姆,Turicum,,,城市／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/谢拉格 | https://arknights.wiki.gg/wiki/Kjerag,部分已核,待补：日文
拉特兰,安布罗修区,Ambrosius District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,博尔戈街,Borgo Street,,,街道,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,伊卡莱西亚区,Ecclesia District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,法柏尔区,Faber District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,格芬区,Gefen District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,约维塔街,Jovita Street,,,街道,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,米迦莱昂区,Michaelion District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,圣马尔索区,Saint Marso District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,安布罗修修道院,Sanctilaminium Ambrosii,,,宗教建筑,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Sanctilaminium_Ambrosii,部分已核,待补：日文
拉特兰,瑟法斯街,Seraphas Street,,,街道,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,育婴圣堂,Shrine of Nurtury,育児聖堂,,梦境教堂,,消失,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Shrine_of_Nurtury,部分已核,
拉特兰,司提望区,Stefano District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
拉特兰,提奥铎斯街,Theodos Street,,,街道,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/拉特兰,部分已核,待补：日文
莱塔尼亚,崔林特尔梅,Zwillingstürme,ツヴィリングトゥルム,,城市/首都,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚 | https://arknights.wiki.gg/wiki/Zwillingst%C3%BCrme,部分已核,
莱塔尼亚,恩瓦德,Enwald,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,,Fels,,,城市／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Leithanien,部分已核,待补：日文
莱塔尼亚,福特冈,Fortgonn,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,格劳菲尔德,Graufield,,,城市／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚 | https://arknights.wiki.gg/wiki/Leithanien,部分已核,待补：日文
莱塔尼亚,谷腾堡,Guttenberg,,,城市／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉年表 | https://arknights.wiki.gg/wiki/Leithanien,部分已核,待补：日文
莱塔尼亚,海登施威尔,Heidenschweil,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,凯普拉尼,Caprinae Region,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,路德维格大学,Ludwigs-Universität,,,大学,,现存,,简中资料或既有三服索引,https://prts.wiki/w/路德维格大学讲演厅 | https://arknights.wiki.gg/wiki/Ludwigs-Universit%C3%A4t,部分已核,待补：日文
莱塔尼亚,鲁珀坎,Lupelkan,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,厄登赫尔,Odenhell,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,奥施登海姆,Ostheim,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,施彤领,Stollen,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,,Uraniborg,,,天文台／设施,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Uraniborg,部分已核,待补：日文
莱塔尼亚,乌提卡,Urtica,,,城市／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚 | https://arknights.wiki.gg/wiki/Leithanien,部分已核,待补：日文
莱塔尼亚,维谢海姆,Vyseheim,ヴィセハイム,,城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Vyseheim,部分已核,
莱塔尼亚,瓦瑟领,Wasserland,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,维杜尼亚,Widunia,,,历史城市,,现存,历史时期,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,部分已核,待补：日文
莱塔尼亚,沃伦姆德,Wolumonde,ウォルモンド,,移动城镇,,受损/恢复中,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Wolumonde,部分已核,
米诺斯,雅赛努斯,Athenius,アテヌス,Athenus（PRTS 泰拉词库：鹰角英文）,城市,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/雅赛努斯复仇记/活动公告 | https://arknights.wiki.gg/wiki/Athenius | https://arknights.wiki.gg/wiki/Medjehtiqedti_Bound | https://prts.wiki/w/泰拉词库,部分已核,
米诺斯,,Akroti,,,城市／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Minos,部分已核,待补：日文
米诺斯,科林尼亚,Corinia,,,城市,,现存,,简中词库直证,https://prts.wiki/w/泰拉词库 | https://arknights.wiki.gg/wiki/Minos,部分已核,待补：日文
米诺斯,伊利昂,Ilion,,,城市／历史地点,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Iron_Burdenbeast_of_Ilion | https://arknights.wiki.gg/wiki/Minos,部分已核,待补：日文
米诺斯,,Lachedamon,,,城市,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Minos,部分已核,待补：日文
萨尔贡,黄金之城,Golden City,,,首都称号,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡,部分已核,待补：日文
萨尔贡,沙尔-阿加德,Shar-Agade,,,城市/首都,首都,现存,,简中词库直证,https://prts.wiki/w/泰拉词库 | https://arknights.wiki.gg/wiki/Shar-Agade,部分已核,待补：日文
萨尔贡,阿卡胡拉,Acahualla,,,地区,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Acahualla,部分已核,待补：日文
萨尔贡,,Bayalir,,,地区／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Sargon,部分已核,待补：日文
萨尔贡,费坤城,Feikun City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡,部分已核,待补：日文
萨尔贡,伊巴特,Ibut,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡 | https://arknights.wiki.gg/wiki/Ibut,部分已核,待补：日文
萨尔贡,,Kerthun Valley,,,地区,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Sargon,部分已核,待补：日文
萨尔贡,长泉镇,Long Spring,,,聚落,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Long_Spring,部分已核,待补：日文
萨尔贡,米纳特哈玛仪,Menat-Ha'mait,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡 | https://arknights.wiki.gg/wiki/Menat-Ha%27mait,部分已核,待补：日文
萨尔贡,沁礁镇,Qinreef Town,,,城镇,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡,部分已核,待补：日文
萨尔贡,赤角小镇,Redhorn Town,,,城镇,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡,部分已核,待补：日文
萨尔贡,,Shahr-Cheshmeh,,,城市／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Sargon,部分已核,待补：日文
萨尔贡,,Szubat-Arsalan,,,城市／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Szubat-Arsalan,部分已核,待补：日文
萨尔贡,双河城,Twinriver City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/萨尔贡,部分已核,待补：日文
萨尔贡,,Varjavandabad Museum,,,博物馆,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Varjavandabad_Museum,部分已核,待补：日文
叙拉古,蒙特卢佩,Montelupe,,,城市/首都,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/叙拉古 | https://arknights.wiki.gg/wiki/Siracusa,部分已核,待补：日文
叙拉古,布鲁奈罗城,Brunello,,,城市／地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/叙拉古 | https://arknights.wiki.gg/wiki/Siracusa,部分已核,待补：日文
叙拉古,新城区,Cittanova,,,城市／聚落,,现存,,简中活动地图的语境直证,https://prts.wiki/w/叙拉古人/地图 | https://arknights.wiki.gg/wiki/Category:Il_Siracusano,部分已核,待补：日文
叙拉古,新沃尔西尼,Nuova Volsinii,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/叙拉古 | https://arknights.wiki.gg/wiki/Siracusa,部分已核,待补：日文
叙拉古,西西里,Sicilia,,,城市／地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/剧情角色一览 | https://arknights.wiki.gg/wiki/Siracusa,部分已核,待补：日文
叙拉古,沃尔西尼,Volsinii,ヴォルシーニ,,城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Volsinii,部分已核,
塔拉,纳斯尔纱,Na Saoirsí,ナ・シアーシャ,,城市/首都,首都,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Na_Saoirs%C3%AD,部分已核,
乌萨斯,圣骏堡,Deity Grypherburg,サンクト・グリファーブルク,,城市,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/乌萨斯 | https://arknights.wiki.gg/wiki/Ursus | https://arknights.wiki.gg/wiki/Deity_Grypherburg,部分已核,
乌萨斯,布列斯克,Bresk,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/乌萨斯 | https://arknights.wiki.gg/wiki/Ursus,部分已核,待补：日文
乌萨斯,切尔诺伯格,Chernobog,チェルノボーグ,,移动城市,,毁坏,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Chernobog,部分已核,
乌萨斯,,Nikolsk,,,城市,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Ursus,部分已核,待补：日文
乌萨斯,,Shiraziberg,,,城市,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Ursus,部分已核,待补：日文
乌萨斯,,Simonch,,,城市,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Ursus,部分已核,待补：日文
乌萨斯,塔曼格勒德,Tamangrad,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/乌萨斯,部分已核,待补：日文
乌萨斯,图利斯卡亚,Tuliskaya,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/乌萨斯,部分已核,待补：日文
乌萨斯,泽尔格勒,Zergard,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/乌萨斯,部分已核,待补：日文
维多利亚,伦蒂尼姆,Londinium,ロンディニウム,,移动城市／首都,首都,活跃/争夺中,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Londinium,部分已核,
维多利亚,阿斯卡拉郡,County Ascara,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,博森德尔,Bosendell,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,卡拉顿,Caladon,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚 | https://arknights.wiki.gg/wiki/Caladon,部分已核,待补：日文
维多利亚,克莱布拉松,Calais-Blason,セライブラソン,,历史城市,,废弃,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Calais-Blason,部分已核,
维多利亚,克莱布拉松地区,Clybrason Region,,,地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,小丘郡,County Hillock,,,行政区,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/County_Hillock,部分已核,待补：日文
维多利亚,多伦郡,County Dublin,ドルン,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,灰山地,Grey Hills,,,地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,海布里区,Highbury District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,开夏郡,Kaisha County,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,,Palace of Westhaleg,,,宫殿,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Palace_of_Westhaleg,部分已核,待补：日文
维多利亚,半岛郡,Peninsula County,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,萨迪恩区,Sadiem District,,,行政区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
维多利亚,托内尔村,Tornel Village,,,村落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/维多利亚,部分已核,待补：日文
炎,百灶,Baizao,百灶バイザオ,,城市,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Baizao,部分已核,
炎,百谷,Baigu,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,兵革,Bingge,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,长街,Changjie,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,锻坊,Duanfang,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,山水,Shanshui,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,弦歌,Xiange,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,烟火,Yanhuo,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,宰府,Zaifu,,,首都城区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,大荒城,Dahuang,,,城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Dahuang,部分已核,待补：日文
炎,夕城,Dusk City,,,特殊城市／画中空间,,有条件存在,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Yan,部分已核,待补：日文
炎,界园,Garden of Grotesqueries,界園,,特殊空间,,未明,,简中资料或既有三服索引,https://prts.wiki/w/岁的界园志异 | https://arknights.wiki.gg/wiki/Garden_of_Grotesqueries | https://arknights.wikiru.jp/,部分已核,
炎,勾吴城,Gouwu City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,灰齐山,Mount Huiqi,,,自然地貌,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,姜齐城,Jiangqi,,,城市／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Yan,部分已核,待补：日文
炎,苦潭江,Kutan River,,,河流,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,龙门,Lungmen,龍門,,移动城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,邙山镇,Mangshan,,,地区／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Mangshan,部分已核,待补：日文
炎,,Michu,,,城市／聚落,,现存,,当前未收录官方简中词形；工作译见 docs/content/03_localization/02_地点中文工作译.csv,https://arknights.wiki.gg/wiki/Yan,部分已核,待补：日文
炎,谋善村,Moushan,,,地区／聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Moushan,部分已核,待补：日文
炎,婆山镇,P'o-shan,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/P%27o-shan,部分已核,待补：日文
炎,尚蜀,Shangshu,シャンシュー,,移动城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Shangshu,部分已核,
炎,三山十七峰,Three Mountains and Seventeen Peaks,,,自然地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,夕江,Xi River,,,河流,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/炎,部分已核,待补：日文
炎,玉门,Yumen,玉門,,移动城市／要塞,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Yumen,部分已核,
