书写/显示语言,目标国家槽位,词形,逐格依据,原填充色
Bolivariano · 玻利瓦尔语,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,萨米,Sami,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,塔拉,Tara,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,炎,Yan,语言学推拟·中,FFE9DDF6
Columbian · 哥伦比亚语,阿戈尔,Ægir,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,玻利瓦尔,Bolívar,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,哥伦比亚,Columbia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,杜林,Durin,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,高卢,Gaul,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,东,Higashi,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,伊比利亚·西语域,Iberia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,伊比利亚·葡语域,Iberia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,卡兹戴尔,Kazdel,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,卡西米尔,Kazimierz,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,谢拉格,Kjerag,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,拉特兰,Laterano,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,莱塔尼亚,Leithanien,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,龙门,Lungmen,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,米诺斯,Minos,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,梦魇,Nightzmora,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,雷姆必拓,Rim Billiton,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,萨米,Sami,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,萨尔贡,Sargon,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,汐斯塔,Siesta,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,叙拉古,Siracusa,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,塔拉,Tara,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,乌萨斯,Ursus,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,维多利亚,Victoria,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,炎,Yan,国际服客户端词形,FFDDEEDC
Durinera · 杜林语,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Gaulois · 高卢语,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,杜林,Durin,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,高卢,Gaule,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,东,Higashi,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,伊比利亚·西语域,Ibérie,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,伊比利亚·葡语域,Ibérie,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,萨米,Sami,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,塔拉,Tara,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,炎,Yan,语言学推拟·中,FFE9DDF6
極東語 · 东国语,阿戈尔,エーギル,日服客户端词形,FFFFF1B8
極東語 · 东国语,玻利瓦尔,ボリバル,日服客户端词形,FFFFF1B8
極東語 · 东国语,哥伦比亚,クルビア,日服客户端词形,FFFFF1B8
極東語 · 东国语,杜林,ドゥリン,日服客户端词形,FFFFF1B8
極東語 · 东国语,高卢,ガリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,东,極東,日服客户端词形,FFFFF1B8
極東語 · 东国语,伊比利亚·西语域,イベリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,伊比利亚·葡语域,イベリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,卡兹戴尔,カズデル,日服客户端词形,FFFFF1B8
極東語 · 东国语,卡西米尔,カジミエーシュ,日服客户端词形,FFFFF1B8
極東語 · 东国语,谢拉格,イェラグ,日服客户端词形,FFFFF1B8
極東語 · 东国语,拉特兰,ラテラーノ,日服客户端词形,FFFFF1B8
極東語 · 东国语,莱塔尼亚,リターニア,日服客户端词形,FFFFF1B8
極東語 · 东国语,龙门,龍門,日服客户端词形,FFFFF1B8
極東語 · 东国语,米诺斯,ミノス,日服客户端词形,FFFFF1B8
極東語 · 东国语,梦魇,ナイツモラ,日服客户端词形,FFFFF1B8
極東語 · 东国语,雷姆必拓,レム・ビリトン,日服客户端词形,FFFFF1B8
極東語 · 东国语,萨米,サーミ,日服客户端词形,FFFFF1B8
極東語 · 东国语,萨尔贡,サルゴン,日服客户端词形,FFFFF1B8
極東語 · 东国语,汐斯塔,シエスタ,日服客户端词形,FFFFF1B8
極東語 · 东国语,叙拉古,シラクーザ,日服客户端词形,FFFFF1B8
極東語 · 东国语,塔拉,ターラー,日服客户端词形,FFFFF1B8
極東語 · 东国语,乌萨斯,ウルサス,日服客户端词形,FFFFF1B8
極東語 · 东国语,维多利亚,ヴィクトリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,炎,炎国,日服客户端词形,FFFFF1B8
Iberiano · 伊比利亚语（西语型）,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,杜林,Durin,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,高卢,Galia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,东,Higashi,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,萨米,Sami,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,塔拉,Tara,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,炎,Yan,语言学推拟·中,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,阿戈尔,Ægir,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,玻利瓦尔,Bolívar,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,哥伦比亚,Colúmbia,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,杜林,Durin,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,高卢,Gália,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,东,Higashi,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,伊比利亚·西语域,Ibéria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,伊比利亚·葡语域,Ibéria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,卡兹戴尔,Kazdel,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,卡西米尔,Kazimierz,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,谢拉格,Kjerag,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,拉特兰,Laterano,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,莱塔尼亚,Leithanien,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,龙门,Lungmen,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,米诺斯,Minos,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,梦魇,Nightzmora,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,雷姆必拓,Rim Billiton,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,萨米,Sami,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,萨尔贡,Sargon,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,汐斯塔,Siesta,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,叙拉古,Siracusa,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,塔拉,Tara,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,乌萨斯,Ursus,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,维多利亚,Victoria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,炎,Yan,语言学推拟：葡语正字法适配,FFE9DDF6
Kazdelian · 卡兹戴尔语,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazimierski · 卡西米尔语,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,杜林,Durin,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,高卢,Gaul,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,东,Higashi,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,萨米,Sami,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,塔拉,Tara,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,炎,Yan,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,杜林,Durin,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,高卢,Gaul,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,东,Higashi,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,萨米,Sami,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,塔拉,Tara,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,炎,Yan,语言学推拟·中,FFE9DDF6
Lateranensis · 拉特兰语,阿戈尔,Ægir,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,玻利瓦尔,Bolívar,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,哥伦比亚,Columbia,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,杜林,Durin,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,高卢,Gallia,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,东,Higashi,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,伊比利亚·西语域,Iberia,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,伊比利亚·葡语域,Iberia,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,卡兹戴尔,Kazdel,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,卡西米尔,Kazimierz,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,谢拉格,Kjerag,语言学推拟·低,FFF5CBCB
