书写/显示语言,目标类别,目标槽位,词形,逐格依据,原填充色
Gaulois · 高卢语,国家名,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,萨米,Sami,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,塔拉,Tara,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,炎,Yan,语言学推拟·中,FFE9DDF6
極東語 · 东国语,国家名,阿戈尔,エーギル,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,玻利瓦尔,ボリバル,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,哥伦比亚,クルビア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,杜林,ドゥリン,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,高卢,ガリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,东,極東,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,伊比利亚·西语域,イベリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,伊比利亚·葡语域,イベリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,卡兹戴尔,カズデル,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,卡西米尔,カジミエーシュ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,谢拉格,イェラグ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,拉特兰,ラテラーノ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,莱塔尼亚,リターニア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,龙门,龍門,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,米诺斯,ミノス,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,梦魇,ナイツモラ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,雷姆必拓,レム・ビリトン,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,萨米,サーミ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,萨尔贡,サルゴン,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,汐斯塔,シエスタ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,叙拉古,シラクーザ,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,塔拉,ターラー,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,乌萨斯,ウルサス,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,维多利亚,ヴィクトリア,日服客户端词形,FFFFF1B8
極東語 · 东国语,国家名,炎,炎国,日服客户端词形,FFFFF1B8
Iberiano · 伊比利亚语（西语型）,国家名,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,杜林,Durin,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,高卢,Galia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,东,Higashi,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,萨米,Sami,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,塔拉,Tara,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,国家名,炎,Yan,语言学推拟·中,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,阿戈尔,Ægir,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,玻利瓦尔,Bolívar,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,哥伦比亚,Colúmbia,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,杜林,Durin,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,高卢,Gália,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,东,Higashi,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,伊比利亚·西语域,Ibéria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,伊比利亚·葡语域,Ibéria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,卡兹戴尔,Kazdel,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,卡西米尔,Kazimierz,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,谢拉格,Kjerag,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,拉特兰,Laterano,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,莱塔尼亚,Leithanien,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,龙门,Lungmen,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,米诺斯,Minos,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,梦魇,Nightzmora,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,雷姆必拓,Rim Billiton,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,萨米,Sami,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,萨尔贡,Sargon,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,汐斯塔,Siesta,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,叙拉古,Siracusa,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,塔拉,Tara,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,乌萨斯,Ursus,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,维多利亚,Victoria,语言学推拟：葡语正字法适配,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,国家名,炎,Yan,语言学推拟：葡语正字法适配,FFE9DDF6
Kazdelian · 卡兹戴尔语,国家名,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazdelian · 卡兹戴尔语,国家名,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Kazimierski · 卡西米尔语,国家名,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,杜林,Durin,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,高卢,Gaul,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,东,Higashi,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,萨米,Sami,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,塔拉,Tara,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,国家名,炎,Yan,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,杜林,Durin,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,高卢,Gaul,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,东,Higashi,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,国家名,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
