书写/显示语言,目标语言槽位,词形,逐格依据,原填充色
Bolivariano · 玻利瓦尔语,汐斯塔克里奥尔语,criollo siestano + otras lenguas,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,叙拉古语,siracusano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,塔拉语,Tengae / tarano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,乌萨斯语,ursino,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,维多利亚语,victoriano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,炎语,yanés,语言学推拟·中,FFE9DDF6
Columbian · 哥伦比亚语,阿戈尔语,Aegirian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,玻利瓦尔语,Bolivarian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,哥伦比亚语,Columbian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,杜林语,Durish,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,高卢语,Gaulish,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,东国语,Higashinese,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,伊比利亚语（西语型）,Iberian (Spanish-like),国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,伊比利亚语（葡语型）,Iberian (Portuguese-like),国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,卡兹戴尔语,Kazdelian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,卡西米尔语,Kazimierzian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,谢拉格语,Kjeragi,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,拉特兰语,Lateran,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,莱塔尼亚语,Leithanian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,龙门话,Lungmenite,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,米诺斯语,Minoan,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,梦魇语,Nightzmoran,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,雷姆必拓区域语体,Rim Billiton common language,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,萨米诸语言,Sami languages,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,萨尔贡诸语言,Sargonian languages,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,汐斯塔克里奥尔语,Siestan Creole,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,叙拉古语,Siracusan,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,塔拉语,Taran,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,乌萨斯语,Ursine,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,维多利亚语,Victorian,国际服词形/说明性限定,FFDDEEDC
Columbian · 哥伦比亚语,炎语,Yanese,国际服词形/说明性限定,FFDDEEDC
Durinera · 杜林语,阿戈尔语,Ægir hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,玻利瓦尔语,Bolívar hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,哥伦比亚语,Columbia hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,杜林语,Durinera,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,高卢语,Gaul hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,东国语,Higashi hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,伊比利亚语（西语型）,Iberia hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,伊比利亚语（葡语型）,Iberia hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,卡兹戴尔语,Kazdel hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,卡西米尔语,Kazimierz hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,谢拉格语,Kjerag hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,拉特兰语,Laterano hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,莱塔尼亚语,Leithanien hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,龙门话,Lungmen hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,米诺斯语,Minos hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,梦魇语,Nightzmora hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,雷姆必拓区域语体,Rim Billiton hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,萨米诸语言,Sami hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,萨尔贡诸语言,Sargon hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,汐斯塔克里奥尔语,Siesta hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,叙拉古语,Siracusa hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,塔拉语,Tara hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,乌萨斯语,Ursus hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,维多利亚语,Victoria hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Durinera · 杜林语,炎语,Yan hizkuntza,待人工审核：巴斯克代理仅有地名线索,FFF5CBCB
Gaulois · 高卢语,阿戈尔语,ægirien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,玻利瓦尔语,multilingue : ibérien bolivarien / victorien / leithanien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,哥伦比亚语,columbien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,杜林语,durinien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,高卢语,gaulois,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,东国语,higashien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,伊比利亚语（西语型）,ibérien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,伊比利亚语（葡语型）,ibérien · 葡语型,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,卡兹戴尔语,kazdélien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,卡西米尔语,kazimierzian,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,谢拉格语,kjeragien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,拉特兰语,latéran,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,莱塔尼亚语,leithanien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,龙门话,lungmenite,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,米诺斯语,minoen,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,梦魇语,nightzmoran,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,雷姆必拓区域语体,langue commune de Rim Billiton,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,萨米诸语言,langues sames,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,萨尔贡诸语言,dialectes sargoniens,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,汐斯塔克里奥尔语,créole siestan + autres langues,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,叙拉古语,siracusain,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,塔拉语,Tengae / taran,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,乌萨斯语,ursusien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,维多利亚语,victorien,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,炎语,yanais,语言学推拟·中,FFE9DDF6
極東語 · 东国语,阿戈尔语,エーギル語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,玻利瓦尔语,ボリバル語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,哥伦比亚语,クルビア語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,杜林语,ドゥリン語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,高卢语,ガリア語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,东国语,極東語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,伊比利亚语（西语型）,イベリア語（西語型）,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,伊比利亚语（葡语型）,イベリア語（葡語型）,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,卡兹戴尔语,カズデル語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,卡西米尔语,カジミエーシュ語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,谢拉格语,イェラグ語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,拉特兰语,ラテラーノ語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,莱塔尼亚语,リターニア語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,龙门话,龍門語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,米诺斯语,ミノス語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,梦魇语,ナイツモラ語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,雷姆必拓区域语体,レム・ビリトン共通語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,萨米诸语言,サーミ諸語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,萨尔贡诸语言,サルゴン諸語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,汐斯塔克里奥尔语,シエスタ・クレオール,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,叙拉古语,シラクーザ語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,塔拉语,ターラー語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,乌萨斯语,ウルサス語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,维多利亚语,ヴィクトリア語,日服词形或日语构词；逐项待核,FFFFF1B8
極東語 · 东国语,炎语,炎語,日服词形或日语构词；逐项待核,FFFFF1B8
Iberiano · 伊比利亚语（西语型）,阿戈尔语,aegiriano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,玻利瓦尔语,multilingüe: iberiano bolivariano / victoriano / leithaniano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,哥伦比亚语,columbiano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,杜林语,duriniano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,高卢语,galo,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,东国语,higashiano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,伊比利亚语（西语型）,iberiano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,伊比利亚语（葡语型）,iberiano (variante ocidental),语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,卡兹戴尔语,kazdeliano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,卡西米尔语,kazimierziano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,谢拉格语,kjeraguiano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,拉特兰语,laterano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,莱塔尼亚语,leithaniano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,龙门话,lungmenés,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,米诺斯语,minoico,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,梦魇语,nightzmorano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,雷姆必拓区域语体,lengua común de Rim Billiton,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,萨米诸语言,lenguas sami,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,萨尔贡诸语言,dialectos sargonianos,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,汐斯塔克里奥尔语,criollo siestano + otras lenguas,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,叙拉古语,siracusano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,塔拉语,Tengae / tarano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,乌萨斯语,ursino,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,维多利亚语,victoriano,语言学推拟·中,FFE9DDF6
Iberiano · 伊比利亚语（西语型）,炎语,yanés,语言学推拟·中,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,阿戈尔语,aegiriano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,玻利瓦尔语,bolivariano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,哥伦比亚语,columbiano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,杜林语,duriniano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,高卢语,gaulês,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,东国语,higashiano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,伊比利亚语（西语型）,iberiano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,伊比利亚语（葡语型）,iberiano ocidental,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,卡兹戴尔语,kazdeliano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,卡西米尔语,kazimierziano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,谢拉格语,kjeraguiano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,拉特兰语,laterano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,莱塔尼亚语,leithaniano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,龙门话,lungmenês,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,米诺斯语,minoico,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,梦魇语,nightzmorano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,雷姆必拓区域语体,língua comum de Rim Billiton,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,萨米诸语言,línguas sami,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,萨尔贡诸语言,dialetos sargonianos,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,汐斯塔克里奥尔语,crioulo siestano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,叙拉古语,siracusano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,塔拉语,Tengae / tarano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,乌萨斯语,ursino,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,维多利亚语,vitoriano,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Iberiano ocidental · 伊比利亚语（葡语型）,炎语,yanês,语言学推拟：葡语形容词/语言结构,FFE9DDF6
Kazdelian · 卡兹戴尔语,阿戈尔语,Aegirian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,玻利瓦尔语,Bolivarian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,哥伦比亚语,Columbian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,杜林语,Durish,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,高卢语,Gaulish,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,东国语,Higashinese,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,伊比利亚语（西语型）,Iberian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,伊比利亚语（葡语型）,Iberian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,卡兹戴尔语,Kazdelian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,卡西米尔语,Kazimierzian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,谢拉格语,Kjeragi,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,拉特兰语,Lateran,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,莱塔尼亚语,Leithanian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,龙门话,Lungmenite,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,米诺斯语,Minoan,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,梦魇语,Nightzmoran,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,雷姆必拓区域语体,Rim Billiton usage,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,萨米诸语言,Sami languages,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,萨尔贡诸语言,Sargonian languages,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,汐斯塔克里奥尔语,Siestan Creole,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,叙拉古语,Siracusan,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,塔拉语,Taran,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,乌萨斯语,Ursine,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,维多利亚语,Victorian,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazdelian · 卡兹戴尔语,炎语,Yanese,待人工审核：保留国际服语言名；不强造闪语,FFF5CBCB
Kazimierski · 卡西米尔语,阿戈尔语,język aegirski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,玻利瓦尔语,wielojęzyczny: iberyjski boliwariański / wiktoriański / leithanieński,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,哥伦比亚语,język kolumbijski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,杜林语,język duriński,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,高卢语,język galijski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,东国语,język higashijski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,伊比利亚语（西语型）,język iberyjski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,伊比利亚语（葡语型）,język iberyjski · 葡语型,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,卡兹戴尔语,język kazdelski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,卡西米尔语,język kazimierski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,谢拉格语,język kjeragski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,拉特兰语,język laterański,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,莱塔尼亚语,język leithanieński,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,龙门话,język lungmeński,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,米诺斯语,język minojski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,梦魇语,język nightzmorański,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,雷姆必拓区域语体,mowa wspólna Rim Billiton,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,萨米诸语言,języki sami,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,萨尔贡诸语言,dialekty sargońskie,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,汐斯塔克里奥尔语,kreolski siestański + inne,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,叙拉古语,język siracusański,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,塔拉语,Tengae / język tarański,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,乌萨斯语,język ursuski,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,维多利亚语,język wiktoriański,语言学推拟·中,FFE9DDF6
Kazimierski · 卡西米尔语,炎语,język yański,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,阿戈尔语,ægirsk,语言学推拟·中,FFE9DDF6
