中文,English,日本語,相关能力,世界内依据,证据把握,事实边界,来源,审查状态
聆音,Gracebearer,グレースベアラー,合唱、赞美诗编曲,档案确认罗德岛合唱团经历、优秀歌声及跨国赞美诗改编。,高,宗教语体需谨慎处理。,https://prts.wiki/w/Gracebearer | https://arknights.wiki.gg/wiki/Gracebearer | https://arknights.wiki.gg/wiki/Gracebearer/File,已核
小满,Grain Buds,グレインバッズ,竹笛、戏曲伴奏、作曲,档案确认连年为大荒城戏曲吹笛，熟悉多支旋律并会写新曲。,高,不应浪漫化其年轻与乡土非职业处境。,https://prts.wiki/w/小满 | https://arknights.wiki.gg/wiki/Grain_Buds/File,已核
紫野遥,Haruka,紫野遥,表演、偶像歌唱,剧情列其为演员和偶像歌手，艺名羽生萌萌香。,高,海报须区分本名与艺名。,https://prts.wiki/w/紫野遥 | https://arknights.wiki.gg/wiki/Haruka/Story,已核
爱丽丝,Iris,アイリス,歌唱、儿童叙事,语音与档案确认会为儿童讲故事和唱歌。,中,未证明为职业音乐会歌手。,https://prts.wiki/w/爱丽丝 | https://arknights.wiki.gg/wiki/Iris/File,已核
烈夏,Leto,リェータ,吉他物品,专属吉他家具 Stage 分配给烈夏。,低,家具所有权不能证明熟练度。,https://prts.wiki/w/烈夏 | https://arknights.wiki.gg/wiki/Stage_(guitar),已核
令,Ling,リィン,诗歌、歌词、即兴歌唱,语音与档案显示其长于格律、诗词和即兴歌唱。,中,属于文学与即兴能力，不是职业剧场履历。,https://prts.wiki/w/令 | https://arknights.wiki.gg/wiki/Ling/File,已核
逻各斯,Logos,ロゴス,仪式声音、语言类源石技艺,女妖咒言、歌唱、语言与记忆在剧情中反复相连。,中,源石技艺影响与文化神圣性使普通舞台使用敏感。,https://prts.wiki/w/逻各斯 | https://arknights.wiki.gg/wiki/Logos/File,已核
傀影,Phantom,ファントム,表演、歌唱、猩红剧团经历,曾为猩红剧团演员与歌者，声音和舞台身份是核心设定。,高,必须明确胁迫、创伤与时间线。,https://prts.wiki/w/傀影 | https://arknights.wiki.gg/wiki/Phantom/Story,已核
酒神,Tragodia,,表演、歌唱、猩红剧团经历,后续形态延续蓝卡坞与剧团表演身份。,高,重大剧透；页面需标时间和服务器进度。,https://prts.wiki/w/酒神 | https://arknights.wiki.gg/wiki/Tragodia,已核
PhonoR-0,PhonoR-0,PhonoR-0,录音播放、摇篮曲、合唱,档案称其播放未知旋律、收藏女妖唱诵并获罗德岛合唱团邀请。,高,人工生命身份及女妖材料需要同意框架。,https://prts.wiki/w/PhonoR-0 | https://arknights.wiki.gg/wiki/PhonoR-0 | https://arknights.wiki.gg/wiki/PhonoR-0/File,已核
暮落,Shalem,シャレム,表演、猩红剧团经历,曾为猩红剧团演员，是直接的幸存者经历。,高,不能抹去虐待或暗示其自愿回归。,https://prts.wiki/w/暮落 | https://arknights.wiki.gg/wiki/Shalem/File,已核
斯卡蒂,Skadi,スカジ,歌唱、阿戈尔音乐文化,档案及乌尔比安材料确认深海猎人歌唱与阿戈尔音乐实践。,中,具体音域是推测；与浊心斯卡蒂语境分开。,https://prts.wiki/w/斯卡蒂 | https://arknights.wiki.gg/wiki/Ulpianus/File,已核
空,Sora,ソラ,偶像歌唱、舞台表演,职业与档案直接确认偶像和歌手身份。,高,公众形象和真实身份隐私是剧情约束。,https://prts.wiki/w/空 | https://arknights.wiki.gg/wiki/Sora/File,已核
月禾,Tsukinogi,ツキノギ,舞蹈、仪式动作,档案确认熟悉东与炎的舞蹈和仪式性动作。,高,宗教与礼仪舞蹈不可脱离语境。,https://prts.wiki/w/月禾 | https://arknights.wiki.gg/wiki/Tsukinogi/File,已核
乌尔比安,Ulpianus,ウルピアヌス,歌唱、作曲、绝对音感,档案明确称其为优秀歌者、作曲者并有绝对音感，音乐也用于身份校验。,高,战斗中的音乐用途不证明其有商业演出意愿。,https://prts.wiki/w/乌尔比安 | https://arknights.wiki.gg/wiki/Ulpianus/File,已核
红豆,Vigna,ヴィグナ,电吉他、摇滚,档案、语音与乐器视觉共同支持其摇滚及吉他实践。,高,职业阶段可能仍偏向追求与练习。,https://prts.wiki/w/红豆 | https://arknights.wiki.gg/wiki/Vigna/File,已核
塑心,Virtuosa,ヴィルトゥオーサ,大提琴、音乐性源石技艺,音乐家身份、大提琴及经音乐施加的源石技艺均有直证。,高,心理与源石技艺风险极高，只宜受控假设。,https://prts.wiki/w/塑心 | https://arknights.wiki.gg/wiki/Virtuosa/File,已核
蓝毒,Blue Poison,アズリウス,吉他物品,专属吉他家具 Shallow Sea 分配给蓝毒。,低,所有权不等于熟练度。,https://prts.wiki/w/蓝毒 | https://arknights.wiki.gg/wiki/Shallow_Sea,已核
讯使,Courier,クーリエ,吉他物品,专属吉他家具 Dark Steel 分配给讯使。,低,熟练度未知；后勤岗位来自职业推拟。,https://prts.wiki/w/讯使 | https://arknights.wiki.gg/wiki/Dark_Steel,已核
杜宾,Dobermann,ドーベルマン,吉他物品,专属吉他家具 Grit 分配给杜宾。,低,所有权不等于熟练度。,https://prts.wiki/w/杜宾 | https://arknights.wiki.gg/wiki/Grit_(guitar),已核
雷蛇,Liskarm,リスカム,吉他物品,专属吉他家具 Dark Cloud 分配给雷蛇。,低,所有权不等于熟练度。,https://prts.wiki/w/雷蛇 | https://arknights.wiki.gg/wiki/Dark_Cloud,已核
慕斯,Mousse,ムース,吉他物品,专属吉他家具 Wheat 分配给慕斯。,低,熟练度未知；活动场景是创作推拟。,https://prts.wiki/w/慕斯 | https://arknights.wiki.gg/wiki/Wheat_(guitar),已核
白金,Platinum,プラチナ,吉他物品,专属吉他家具 Birch 分配给白金。,低,所有权不等于熟练度。,https://prts.wiki/w/白金 | https://arknights.wiki.gg/wiki/Birch_(guitar),已核
诗怀雅,Swire,スワイヤー,吉他物品,专属吉他家具 Amber 分配给诗怀雅。,低,熟练度未知；赞助岗位来自身份推拟。,https://prts.wiki/w/诗怀雅 | https://arknights.wiki.gg/wiki/Amber_(guitar),已核
卡达,Click,カシャ,影像与内容制作,职业和档案确认其影像内容创作能力。,高,暂无音乐表演直证。,https://prts.wiki/w/卡达 | https://arknights.wiki.gg/wiki/Click/File,已核
稀音,Scene,シーン,摄影、纪录,档案确认专业野外摄影。,高,机器人摄影系统需取得场馆许可。,https://prts.wiki/w/稀音 | https://arknights.wiki.gg/wiki/Scene/File,已核
年,Nian,ニェン,电影制作、导演,档案与剧情反复确认其独立电影制作。,高,工作方式和可靠性具有明显个人风格。,https://prts.wiki/w/年 | https://arknights.wiki.gg/wiki/Nian/File,已核
蒂比,Tippi,ティッピ,电影与演出制作,委托材料涉及蓝卡坞电影中的表演、道具、背景和音乐生产。,中,具体职位边界仍需复核委托文本。,https://prts.wiki/w/Tippi | https://arknights.wiki.gg/wiki/Tippi | https://arknights.wiki.gg/wiki/Tippi/File,已核
特克诺,Tecno,テクノ,木偶戏、视觉艺术,档案确认木偶制作与独立表演；配乐来自其他艺术家。,高,不能因演出有配乐而把她归为音乐家。,https://prts.wiki/w/Tecno | https://arknights.wiki.gg/wiki/Tecno | https://arknights.wiki.gg/wiki/Tecno/File,已核
食铁兽,FEater,エフイーター,动作表演、特技,档案确认其前动作片演员身份。,高,影视动作经验不自动等同舞台表演方法。,https://prts.wiki/w/食铁兽 | https://arknights.wiki.gg/wiki/FEater/File,已核
罗比菈塔,Roberta,ロベルタ,化妆、造型,档案确认其知名化妆师身份。,高,明星产业流程需适配巡演剧场。,https://prts.wiki/w/罗比菈塔 | https://arknights.wiki.gg/wiki/Roberta/File,已核
裁度,Figurino,フィグリーノ,裁缝、服装,材料确认服装制作与时尚专业。,高,具体履历仍需按当前客户端复核。,https://prts.wiki/w/Figurino | https://arknights.wiki.gg/wiki/Figurino | https://arknights.wiki.gg/wiki/Figurino/File,已核
梓兰,Orchid,オーキッド,时尚、设计,档案确认其时尚行业经历。,中,不默认具备专业戏服制作能力。,https://prts.wiki/w/梓兰 | https://arknights.wiki.gg/wiki/Orchid/File,已核
海蒂,Heidi,ハイディ,写作、文学,档案确认小说家与写作者身份，并有文化政治网络。,中,未找到直接戏剧写作履历。,https://prts.wiki/w/海蒂 | https://arknights.wiki.gg/wiki/Heidi/File,已核
骋风,Windscoot,ウインドスクート,音乐鉴赏、教育赞助,档案中练小提琴的是病患；骋风喜欢聆听并资助她求学。,中,他不是该段材料中的小提琴手。,https://prts.wiki/w/Windscoot | https://arknights.wiki.gg/wiki/Windscoot | https://arknights.wiki.gg/wiki/Windscoot/File,已核
艾丽妮,Irene,アイリーニ,音乐鉴赏,档案与剧情显示其了解伊比利亚黄金时代音乐并观察舞蹈。,低,鉴赏不等于表演技能。,https://prts.wiki/w/艾丽妮 | https://arknights.wiki.gg/wiki/Irene/File,已核
霜叶,Frostleaf,フロストリーフ,音乐鉴赏,档案与语音确认其对音乐有强烈兴趣。,低,暂无职业 DJ 或乐器直证。,https://prts.wiki/w/霜叶 | https://arknights.wiki.gg/wiki/Frostleaf/File,已核
绮良,Kirara,キララ,音乐策划,剧情场景将其与社交空间中的选曲和播放联系。,中,属于情境性策划，不是职业舞台履历。,https://prts.wiki/w/绮良 | https://arknights.wiki.gg/wiki/Kirara/File,已核
丰川祥子,Togawa Sakiko / Oblivionis,豊川祥子,键盘、作曲、乐队,联动干员保留 Ave Mujica 键盘与作曲身份。,高,外部作品联动，不代表泰拉本土音乐制度。,https://prts.wiki/w/丰川祥子 | https://arknights.wiki.gg/wiki/Togawa_Sakiko,已核
若叶睦,Wakaba Mutsumi / Mortis,若葉睦,吉他、乐队,联动干员保留 Ave Mujica 吉他手身份。,高,外部作品联动，需单列正典范围。,https://prts.wiki/w/若叶睦 | https://arknights.wiki.gg/wiki/Wakaba_Mutsumi,已核
三角初华,Misumi Uika / Doloris,三角初華,主唱、吉他、乐队,联动干员保留 Ave Mujica 主唱与吉他身份。,高,外部作品联动，需单列正典范围。,https://prts.wiki/w/三角初华 | https://arknights.wiki.gg/wiki/Misumi_Uika,已核
八幡海铃,Yahata Umiri / Timoris,八幡海鈴,贝斯、乐队,联动干员保留 Ave Mujica 贝斯手身份。,高,外部作品联动，需单列正典范围。,https://prts.wiki/w/八幡海铃 | https://arknights.wiki.gg/wiki/Yahata_Umiri,已核
祐天寺若麦,Yuutenji Nyamu / Amoris,祐天寺にゃむ,鼓、乐队,联动干员保留 Ave Mujica 鼓手身份。,高,外部作品联动，需单列正典范围。,https://prts.wiki/w/祐天寺若麦 | https://arknights.wiki.gg/wiki/Yuutenji_Nyamu,已核
