编号,中文,English,日本語,剧情/剧务信息,三语覆盖,来源,审查状态
075,演出用香水,Actor's Perfume,ステージ用香水,演员上场前使用以缓和压力，至少能在表面保持平静,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
078,舞者手链,Dancer's Bracelets,踊り子のブレスレット,训练有素的舞者躲过舞台机关，观众只看见表演并喝彩,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
140,蓝色丝巾,Blue Silk Scarf,青いスカーフ,一位女士的丝巾，带来安全感,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
141,红色蝴蝶结,Red Bow Tie,赤い蝶リボン,傀影送出的第一份礼物，Miss.Christine 很喜欢,CN≠EN≠JP；英文是领结，日文是蝶形缎带,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
142,古怪长笛,Weird Flute,奇怪なフルート,有人昼夜不停吹奏,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
143,玻璃小鸟,Glass Bird,ガラスの小鳥,在乐园中永恒歌唱,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
144,独奏八音盒,Solo Music Box,独奏のオルゴール,已损坏沉默；一名女演员曾在后台凝视它，随后与傀影同台,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
145,源石鸢尾花,Originium Iris,源石のアイリス,极奢华；团长只在少数谢幕时赠给主演,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
148,旧高卢地名源流考,“Gaulish Toponym Origins”,『旧ガリア地名考』,收录克莱布拉松等旧高卢地名,CN↔EN↔JP；日文旧数据中的地区名写作セライブラソン,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
163,悬丝傀儡,String Puppet,操り人形,越挣扎丝线越紧，文本反问傀儡是否拥有思想,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
171,“文明的存续”,“Civilight Eterna”,「文明の存続」,一顶小小黑冠；达成“滑稽喜剧”后解锁,CN↔JP≠EN；英文采用专名化译法,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
172,荣耀绶带,Ribbon of Honor,グローリーサッシュ,无数演员演过同一角色，却始终无法救下挚友,CN↔EN≠JP；日文音译英语式称呼,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
174,“时光之末”,“End of Times”,「時の果て」,若尚未进入新的循环，过错仍可能补救；机制可在一次非最终战失败后继续探索,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
187,酒神的印记,Sigil of Tragodia,酒神のシンボル,剧团随处可见的图案，把团长及其艺术欲望烙进每个人脑中；敌方攻、防、生命 +30%，部署位 -2,CN↔JP≠EN；英文用 Tragodia 专名,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
188,酒神的印记（重铸）,Sigil of Tragodia (Reforged),酒神のシンボル（改）,强化为敌方三维 +35%、部署位 -3；进入幕间余兴可逐步恢复部署位,CN↔EN↔JP；后缀本地化不同,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
189,剧作家手稿：维多利亚,Playwright's Manuscript: Victoria,劇作家の原稿：ヴィクトリア,以“菲林的王冠”碎裂为引；强化敌方并提高下一次招募的希望消耗,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
190,剧作家手稿：乌萨斯,Playwright's Manuscript: Ursus,劇作家の原稿：ウルサス,以宴会突然终止为引；强化敌方并使非战斗节点损失源石锭,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
191,剧作家手稿：莱塔尼亚,Playwright's Manuscript: Leithanien,劇作家の原稿：リターニア,以卡普里尼高塔倒塌为引；强化敌方并压低我方攻击,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
192,剧作家手稿：高卢,Playwright's Manuscript: Gaul,劇作家の原稿：ガリア,以黎博利的砖石化为齑粉为引；强化敌方并放大每战首次生命损失,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
200,黑色舞鞋,Jet-Black Dance Shoes,漆黒のダンスシューズ,来自哥伦比亚、贴近地面的舞者意象,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
201,白色舞鞋,Pure White Dance Shoes,純白のトウシューズ,来自乌萨斯、轻盈舞者意象,CN≠JP；日文明确为芭蕾足尖鞋,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
202,刀舞,“Bladedance”,「ブレイドダンス」,来自萨尔贡的沉默舞者、战士与忠诚导师，背负黑暗过去；对应傀影导师之一,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
203,白英花,“Whiteflower”,「ズルカマラ」,莱塔尼亚著名歌剧演员，站在高塔与贵族关系网中，曾试图挑起冲突；对应导师之一,CN≠EN≠JP；日服采用不同舞台专名，必须分 locale 保存,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
204,影子,“Shadow”,「シャドウ」,叙拉古知名舞台魔术师，以幻象源石技艺著称，曾被指在演出中暗杀家族成员；对应导师之一,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
205,坎德之花,“Flowers of Quinde”,『カンドの花』,约八百年前的高卢史诗；诗人因外貌被讥嘲,CN≠EN≠JP；专名音译不同,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
206,麻木与庸俗,“Numbness and Obscenity”,『傍観と凡庸』,约二百年前的莱塔尼亚疯狂雕塑家，才华与杀人并存；人们忽视作品却迷恋其美貌,CN≠EN≠JP；日文语义为旁观与平庸,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
207,世间的美与丑,“Beauty and Ugliness in the Age of Terra”,『この世の美と醜』,维多利亚传奇艺术文集，作者被称为小剧团团长，后来死于“血钻”,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
208,残破玩偶,Worn-out Puppet,ボロボロのぬいぐるみ,玩偶厌倦继续做被操控者,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
209,无用剪刀,Useless Scissors,無用なハサミ,老旧到无法剪断实体，却能剪开无形束缚,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
210,空白遗书,Blank Suicide Note,空白の遺書,唯一意愿是逃离操纵者，纸面却保持空白,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
211,替罪领巾,Mantle of the Wrongly Condemned,身代わりのネッカチーフ,与高塔术师、宴会和帷幕升起后的见证相连,CN≠EN≠JP；三服意象不同但指同一条目,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
212,替补演员,Stand-in Actor,アンダースタディ,剧作家不认可报幕人的演出；“喉舌”仍有替代者,CN↔EN↔JP；日文采用剧场术语音译,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
213,恍悟,Abrupt Realization,インスピレーション,与追随巫王、为艺术献上一切的人物有关,CN≠EN≠JP；日文语义偏“灵感”,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
214,死囚之舞,Dance of the Condemned,死刑囚の舞踏,创作者自我囚禁，以免写作受扰,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
215,初幕,Act 1,初幕,某首演结尾中，主角在火中用敌人的血写下复仇；指向剧作家路线,CN↔JP≠EN,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
216,今日菜谱,Today's Menu,今日の献立,剧团厨师不断更换餐食，团长禁止追问食材来源,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
221,精神治疗录像带,Therapy Tape,精神治療の記録映像,录像中的人反复阻止听者；理解的关键落在“听见他歌唱”,CN↔EN↔JP；英文省略较多字面成分,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
PCS03,苦痛的快乐,“Painful Happiness”,「苦痛の喜び」,矿石病在团内扩散；有人倒下、哭泣、欢庆或书写；一名年轻人收到成人礼，将以演员身份唱最后一曲,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
PCS04,古堡的子嗣,Castle's Offspring,古城の後嗣,宝盒在足够时间后也可能成长为另一座舞台,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
PCS06,夜骇,“Eventide Terror”,「ナイト・テラー」,在最黑暗的日子，团长备好酒观看绝望,CN≠EN≠JP；日文采用英语音译,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
PCS07,无度,“Excessiveness”,「貪る闇」,无光宝石与团长无止境的欲望相连,CN≠EN≠JP；日文意为“吞噬之暗”,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
