来源编号,URL,渠道,服务范围,证据级别,抓取或复核日期
source-050,https://arknights.wiki.gg/wiki/Gracebearer/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-051,https://arknights.wiki.gg/wiki/Grain_Buds/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-052,https://arknights.wiki.gg/wiki/Gran_Faro,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-053,https://arknights.wiki.gg/wiki/Grit_(guitar),wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-054,https://arknights.wiki.gg/wiki/Haruka/Story,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-055,https://arknights.wiki.gg/wiki/Heidi/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-056,https://arknights.wiki.gg/wiki/Higashi,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-057,https://arknights.wiki.gg/wiki/Iberia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-058,https://arknights.wiki.gg/wiki/Ibut,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-059,https://arknights.wiki.gg/wiki/Irene/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-060,https://arknights.wiki.gg/wiki/Iris/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-061,https://arknights.wiki.gg/wiki/Iron_Burdenbeast_of_Ilion,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-062,https://arknights.wiki.gg/wiki/Kawalerielki,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-063,https://arknights.wiki.gg/wiki/Kazdel,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-064,https://arknights.wiki.gg/wiki/Kazimierz,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-065,https://arknights.wiki.gg/wiki/Kirara/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-066,https://arknights.wiki.gg/wiki/Kjerag,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-067,https://arknights.wiki.gg/wiki/Lake_Silberneherze,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-068,https://arknights.wiki.gg/wiki/Laterano,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-069,https://arknights.wiki.gg/wiki/Leithanien,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-070,https://arknights.wiki.gg/wiki/Ling/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-071,https://arknights.wiki.gg/wiki/Lingones,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-072,https://arknights.wiki.gg/wiki/Logos/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-073,https://arknights.wiki.gg/wiki/Londinium,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-074,https://arknights.wiki.gg/wiki/Long_Spring,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-075,https://arknights.wiki.gg/wiki/Ludwigs-Universit%C3%A4t,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-076,https://arknights.wiki.gg/wiki/Lungmen_Dollar,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-077,https://arknights.wiki.gg/wiki/Mangshan,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-078,https://arknights.wiki.gg/wiki/Mansfield_State_Prison,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-079,https://arknights.wiki.gg/wiki/Masquerade_Mask,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-080,https://arknights.wiki.gg/wiki/Medjehtiqedti_Bound,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-081,https://arknights.wiki.gg/wiki/Menat-Ha%27mait,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-082,https://arknights.wiki.gg/wiki/Milliarium,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-083,https://arknights.wiki.gg/wiki/Minos,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-084,https://arknights.wiki.gg/wiki/Misumi_Uika,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-085,https://arknights.wiki.gg/wiki/Mitsukue,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-086,https://arknights.wiki.gg/wiki/Moushan,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-087,https://arknights.wiki.gg/wiki/Na_Saoirs%C3%AD,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-088,https://arknights.wiki.gg/wiki/Nebula-1,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-089,https://arknights.wiki.gg/wiki/Nian/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-090,https://arknights.wiki.gg/wiki/Orchid/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-091,https://arknights.wiki.gg/wiki/Originite_Prime,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-092,https://arknights.wiki.gg/wiki/Orundum,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-093,https://arknights.wiki.gg/wiki/P%27o-shan,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-094,https://arknights.wiki.gg/wiki/Palace_of_Westhaleg,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-095,https://arknights.wiki.gg/wiki/Phantom/Story,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-096,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-097,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-098,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Endings,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-099,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-100,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-101,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-102,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Synopsis,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-103,https://arknights.wiki.gg/wiki/PhonoR-0,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-104,https://arknights.wiki.gg/wiki/PhonoR-0/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-105,https://arknights.wiki.gg/wiki/Propeller_Paradise,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-106,https://arknights.wiki.gg/wiki/Real-Iberia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-107,https://arknights.wiki.gg/wiki/Rim_Billiton,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-108,https://arknights.wiki.gg/wiki/Roberta/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-109,https://arknights.wiki.gg/wiki/Roka,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-110,https://arknights.wiki.gg/wiki/Sal_Viento,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-111,https://arknights.wiki.gg/wiki/Sami,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-112,https://arknights.wiki.gg/wiki/Sanctilaminium_Ambrosii,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-113,https://arknights.wiki.gg/wiki/Sargon,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-114,https://arknights.wiki.gg/wiki/Scene/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-115,https://arknights.wiki.gg/wiki/Shadow,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-116,https://arknights.wiki.gg/wiki/Shalem/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-117,https://arknights.wiki.gg/wiki/Shallow_Sea,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-118,https://arknights.wiki.gg/wiki/Shangshu,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-119,https://arknights.wiki.gg/wiki/Shar-Agade,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-120,https://arknights.wiki.gg/wiki/Shrine_of_Nurtury,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-121,https://arknights.wiki.gg/wiki/Siesta,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-122,https://arknights.wiki.gg/wiki/Sigil_of_Tragodia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-123,https://arknights.wiki.gg/wiki/Siracusa,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-124,https://arknights.wiki.gg/wiki/Sora/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-125,https://arknights.wiki.gg/wiki/Stage_(guitar),wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-126,https://arknights.wiki.gg/wiki/Stultifera_Navis,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-127,https://arknights.wiki.gg/wiki/Supplemental_Investigation_Report,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-128,https://arknights.wiki.gg/wiki/Szubat-Arsalan,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-129,https://arknights.wiki.gg/wiki/Tara,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-130,https://arknights.wiki.gg/wiki/Tecno,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-131,https://arknights.wiki.gg/wiki/Tecno/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-132,https://arknights.wiki.gg/wiki/Tippi,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-133,https://arknights.wiki.gg/wiki/Tippi/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-134,https://arknights.wiki.gg/wiki/Tkaronto,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-135,https://arknights.wiki.gg/wiki/Togawa_Sakiko,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-136,https://arknights.wiki.gg/wiki/Tragodia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-137,https://arknights.wiki.gg/wiki/Trimounts,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-138,https://arknights.wiki.gg/wiki/Troupe_Mouthpiece,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-139,https://arknights.wiki.gg/wiki/Tsukinogi/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-140,https://arknights.wiki.gg/wiki/Ulpianus/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-141,https://arknights.wiki.gg/wiki/Uraniborg,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-142,https://arknights.wiki.gg/wiki/Ursus,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-143,https://arknights.wiki.gg/wiki/Varjavandabad_Museum,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-144,https://arknights.wiki.gg/wiki/Vigna/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-145,https://arknights.wiki.gg/wiki/Virtuosa/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-146,https://arknights.wiki.gg/wiki/Volsinii,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-147,https://arknights.wiki.gg/wiki/Vyseheim,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-148,https://arknights.wiki.gg/wiki/Wakaba_Mutsumi,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-149,https://arknights.wiki.gg/wiki/Wheat_(guitar),wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-150,https://arknights.wiki.gg/wiki/Whiteflower,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-151,https://arknights.wiki.gg/wiki/Windscoot,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-152,https://arknights.wiki.gg/wiki/Windscoot/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-153,https://arknights.wiki.gg/wiki/Wolumonde,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-154,https://arknights.wiki.gg/wiki/Wrankwood,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-155,https://arknights.wiki.gg/wiki/Yahata_Umiri,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-156,https://arknights.wiki.gg/wiki/Yan,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-157,https://arknights.wiki.gg/wiki/Yumen,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-158,https://arknights.wiki.gg/wiki/Yuutenji_Nyamu,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-159,https://arknights.wiki.gg/wiki/Zeruertza,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-160,https://arknights.wiki.gg/wiki/Zwillingst%C3%BCrme,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-161,https://arknights.wikiru.jp/,Wikiru,日服资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-162,https://arknights.wikiru.jp/?BGM=,Wikiru,日服资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-163,https://arknights.wikiru.jp/?統合戦略「ファントムと緋き貴石」,Wikiru,日服资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-164,https://prts.wiki/w/AD-8,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-165,https://prts.wiki/w/AD-8_登台致礼/END,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-166,https://prts.wiki/w/Figurino,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-167,https://prts.wiki/w/Gracebearer,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-168,https://prts.wiki/w/Miss.Christine,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-169,https://prts.wiki/w/PhonoR-0,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-170,https://prts.wiki/w/Tecno,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-171,https://prts.wiki/w/Tippi,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-172,https://prts.wiki/w/Windscoot,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-173,https://prts.wiki/w/三角初华,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-174,https://prts.wiki/w/丰川祥子,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-175,https://prts.wiki/w/乌尔比安,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-176,https://prts.wiki/w/令,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-177,https://prts.wiki/w/傀影,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-178,https://prts.wiki/w/傀影与猩红孤钻,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
